LocCode,LocID,Loc,Type,Topic,Age,Gender,Race,Val1,Val2,val3,Average,Diabetes,Obesity,Physical Inactivity,Smoking,18-24,25-44,35+,45-64,65+,75+,Female,Male,Hispanic,Non-Hispanic Asian,Non-Hispanic Black,Non-Hispanic White,Acute Myocardial Infarction (Heart Attack),Coronary Heart Disease,Major Cardiovascular Disease,Stroke
USM,58,Median of all states,Risk Factors,Diabetes,18-24,Female,Hispanic,1.2,9.85,11.45,7.5,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,13.48333333,2.166666667,4.883333333,2.083333333
USM,58,Median of all states,Risk Factors,Diabetes,18-24,Female,Non-Hispanic Asian,1.2,9.85,8.1,6.383333333,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,6.925,1.65,3.9,1.45
USM,58,Median of all states,Risk Factors,Diabetes,18-24,Female,Non-Hispanic Black,1.2,9.85,14.25,8.433333333,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,14.06666667,2.433333333,5.733333333,2.6
USM,58,Median of all states,Risk Factors,Diabetes,18-24,Female,Non-Hispanic White,1.2,9.85,9.4,6.816666667,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,14.95833333,2.616666667,5.416666667,2.166666667
USM,58,Median of all states,Risk Factors,Diabetes,18-24,Male,Hispanic,1.2,10.8,11.45,7.816666667,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,14.78333333,2.866666667,5.85,2.1
USM,58,Median of all states,Risk Factors,Diabetes,18-24,Male,Non-Hispanic Asian,1.2,10.8,8.1,6.7,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,8.225,2.35,4.866666667,1.466666667
USM,58,Median of all states,Risk Factors,Diabetes,18-24,Male,Non-Hispanic Black,1.2,10.8,14.25,8.75,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,15.36666667,3.133333333,6.7,2.616666667
USM,58,Median of all states,Risk Factors,Diabetes,18-24,Male,Non-Hispanic White,1.2,10.8,9.4,7.133333333,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,16.25833333,3.316666667,6.383333333,2.183333333
USM,58,Median of all states,Risk Factors,Diabetes,25-44,Female,Hispanic,3.8,9.85,11.45,8.366666667,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,18,2.366666667,5.383333333,2.316666667
USM,58,Median of all states,Risk Factors,Diabetes,25-44,Female,Non-Hispanic Asian,3.8,9.85,8.1,7.25,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,11.44166667,1.85,4.4,1.683333333
USM,58,Median of all states,Risk Factors,Diabetes,25-44,Female,Non-Hispanic Black,3.8,9.85,14.25,9.3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,18.58333333,2.633333333,6.233333333,2.833333333
USM,58,Median of all states,Risk Factors,Diabetes,25-44,Female,Non-Hispanic White,3.8,9.85,9.4,7.683333333,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,19.475,2.816666667,5.916666667,2.4
USM,58,Median of all states,Risk Factors,Diabetes,25-44,Male,Hispanic,3.8,10.8,11.45,8.683333333,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,19.3,3.066666667,6.35,2.333333333
USM,58,Median of all states,Risk Factors,Diabetes,25-44,Male,Non-Hispanic Asian,3.8,10.8,8.1,7.566666667,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,12.74166667,2.55,5.366666667,1.7
USM,58,Median of all states,Risk Factors,Diabetes,25-44,Male,Non-Hispanic Black,3.8,10.8,14.25,9.616666667,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,19.88333333,3.333333333,7.2,2.85
USM,58,Median of all states,Risk Factors,Diabetes,25-44,Male,Non-Hispanic White,3.8,10.8,9.4,8,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,20.775,3.516666667,6.883333333,2.416666667
USM,58,Median of all states,Risk Factors,Diabetes,35+,Female,Hispanic,14.5,9.85,11.45,11.93333333,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,20.78333333,4.1,8.55,3.416666667
USM,58,Median of all states,Risk Factors,Diabetes,35+,Female,Non-Hispanic Asian,14.5,9.85,8.1,10.81666667,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,14.225,3.583333333,7.566666667,2.783333333
USM,58,Median of all states,Risk Factors,Diabetes,35+,Female,Non-Hispanic Black,14.5,9.85,14.25,12.86666667,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,21.36666667,4.366666667,9.4,3.933333333
USM,58,Median of all states,Risk Factors,Diabetes,35+,Female,Non-Hispanic White,14.5,9.85,9.4,11.25,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,22.25833333,4.55,9.083333333,3.5
USM,58,Median of all states,Risk Factors,Diabetes,35+,Male,Hispanic,14.5,10.8,11.45,12.25,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,22.08333333,4.8,9.516666667,3.433333333
USM,58,Median of all states,Risk Factors,Diabetes,35+,Male,Non-Hispanic Asian,14.5,10.8,8.1,11.13333333,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,15.525,4.283333333,8.533333333,2.8
USM,58,Median of all states,Risk Factors,Diabetes,35+,Male,Non-Hispanic Black,14.5,10.8,14.25,13.18333333,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,22.66666667,5.066666667,10.36666667,3.95
USM,58,Median of all states,Risk Factors,Diabetes,35+,Male,Non-Hispanic White,14.5,10.8,9.4,11.56666667,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,23.55833333,5.25,10.05,3.516666667
USM,58,Median of all states,Risk Factors,Diabetes,45-64,Female,Hispanic,13.9,9.85,11.45,11.73333333,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,21.1,3.666666667,7.683333333,3.183333333
USM,58,Median of all states,Risk Factors,Diabetes,45-64,Female,Non-Hispanic Asian,13.9,9.85,8.1,10.61666667,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,14.54166667,3.15,6.7,2.55
USM,58,Median of all states,Risk Factors,Diabetes,45-64,Female,Non-Hispanic Black,13.9,9.85,14.25,12.66666667,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,21.68333333,3.933333333,8.533333333,3.7
USM,58,Median of all states,Risk Factors,Diabetes,45-64,Female,Non-Hispanic White,13.9,9.85,9.4,11.05,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,22.575,4.116666667,8.216666667,3.266666667
USM,58,Median of all states,Risk Factors,Diabetes,45-64,Male,Hispanic,13.9,10.8,11.45,12.05,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,22.4,4.366666667,8.65,3.2
USM,58,Median of all states,Risk Factors,Diabetes,45-64,Male,Non-Hispanic Asian,13.9,10.8,8.1,10.93333333,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,15.84166667,3.85,7.666666667,2.566666667
USM,58,Median of all states,Risk Factors,Diabetes,45-64,Male,Non-Hispanic Black,13.9,10.8,14.25,12.98333333,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,22.98333333,4.633333333,9.5,3.716666667
USM,58,Median of all states,Risk Factors,Diabetes,45-64,Male,Non-Hispanic White,13.9,10.8,9.4,11.36666667,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,23.875,4.816666667,9.183333333,3.283333333
USM,58,Median of all states,Risk Factors,Diabetes,65+,Female,Hispanic,22.3,9.85,11.45,14.53333333,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,22.33333333,6.3,12.55,4.65
USM,58,Median of all states,Risk Factors,Diabetes,65+,Female,Non-Hispanic Asian,22.3,9.85,8.1,13.41666667,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,15.775,5.783333333,11.56666667,4.016666667
USM,58,Median of all states,Risk Factors,Diabetes,65+,Female,Non-Hispanic Black,22.3,9.85,14.25,15.46666667,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,22.91666667,6.566666667,13.4,5.166666667
USM,58,Median of all states,Risk Factors,Diabetes,65+,Female,Non-Hispanic White,22.3,9.85,9.4,13.85,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,23.80833333,6.75,13.08333333,4.733333333
USM,58,Median of all states,Risk Factors,Diabetes,65+,Male,Hispanic,22.3,10.8,11.45,14.85,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,23.63333333,7,13.51666667,4.666666667
USM,58,Median of all states,Risk Factors,Diabetes,65+,Male,Non-Hispanic Asian,22.3,10.8,8.1,13.73333333,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,17.075,6.483333333,12.53333333,4.033333333
USM,58,Median of all states,Risk Factors,Diabetes,65+,Male,Non-Hispanic Black,22.3,10.8,14.25,15.78333333,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,24.21666667,7.266666667,14.36666667,5.183333333
USM,58,Median of all states,Risk Factors,Diabetes,65+,Male,Non-Hispanic White,22.3,10.8,9.4,14.16666667,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,25.10833333,7.45,14.05,4.75
USM,58,Median of all states,Risk Factors,Diabetes,75+,Female,Hispanic,21.8,9.85,11.45,14.36666667,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,23.18333333,7.1,13.88333333,5.283333333
USM,58,Median of all states,Risk Factors,Diabetes,75+,Female,Non-Hispanic Asian,21.8,9.85,8.1,13.25,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,16.625,6.583333333,12.9,4.65
USM,58,Median of all states,Risk Factors,Diabetes,75+,Female,Non-Hispanic Black,21.8,9.85,14.25,15.3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,23.76666667,7.366666667,14.73333333,5.8
USM,58,Median of all states,Risk Factors,Diabetes,75+,Female,Non-Hispanic White,21.8,9.85,9.4,13.68333333,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,24.65833333,7.55,14.41666667,5.366666667
